Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Abel	William		C	TX31	2024	5/12/2024	10060658
	Abolfazli	Maryam.		C	TN05	2024	5/13/2024	10060479
Mr.	Aboujaoude	Rock Adel	Jr.	C	FL12	2024	5/14/2024	10061019
Hon.	Adams	Alma Shealey		O	NC12	2024	4/29/2025	10066961
	Adams	Jennifer		C	FL07	2024	5/30/2024	10062032
	Adams	Sheryl L.		W	CA49	2024	4/22/2024	7940
	Addington	Jacob Tay		W	NY22	2024	5/28/2024	7981
	Addington	Jacob Tay		X	NY22	2024	5/17/2024	30022163
Hon.	Aderholt	Robert B.		O	AL04	2024	8/13/2025	10067693
Hon.	Aderholt	Robert B.		X	AL04	2024	5/8/2025	30023211
Dr.	Adolph	Kiley		C	IN03	2024	7/18/2024	10058879
Dr.	Adolph	Kiley		X	IN03	2024	4/23/2024	30020859
Dr.	Adolph	Kiley		X	IN03	2024	6/18/2024	30022294
Hon.	Aguilar	Pete		O	CA33	2024	8/6/2025	10067524
Hon.	Aguilar	Pete		X	CA33	2024	5/6/2025	30023149
	Agwan	Pervez S.		C	TX07	2024	6/12/2024	10062230
	Albertson-Corkery	Sarah Elaine		C	IA02	2024	6/14/2024	10058815
	Albertson-Corkery	Sarah Elaine		X	IA02	2024	5/14/2024	30021396
Dr.	Alexander	Myrtle Patricia		D	DC00	2024	1/31/2024	8220122
Hon.	Alford	Mark		O	MO04	2024	8/12/2025	10067381
Hon.	Alford	Mark		X	MO04	2024	5/5/2025	30023082
Hon.	Allen	Richard W.		O	GA12	2024	8/11/2025	10071878
Hon.	Allen	Richard W.		P	GA12	2024	1/11/2024	20024277
Hon.	Allen	Richard W.		P	GA12	2024	2/16/2024	20024458
Hon.	Allen	Richard W.		P	GA12	2024	5/14/2024	20025031
Hon.	Allen	Richard W.		P	GA12	2024	6/21/2024	20025287
Hon.	Allen	Richard W.		P	GA12	2024	7/10/2024	20025411
Hon.	Allen	Richard W.		P	GA12	2024	8/8/2024	20025601
Hon.	Allen	Richard W.		P	GA12	2024	9/20/2024	20025875
Hon.	Allen	Richard W.		P	GA12	2024	10/18/2024	20026031
Hon.	Allen	Richard W.		P	GA12	2024	11/14/2024	20026191
Hon.	Allen	Richard W.		X	GA12	2024	5/9/2025	8220861
Dr.	Almonord	Valbrun		C	GA00	2024	2/16/2024	10056790
	Altekar	Girish		C	TX37	2024	3/24/2024	10056916
	Altman	Susan Copius		C	NJ07	2024	8/13/2024	10060014
	Altman	Susan Copius		X	NJ07	2024	5/17/2024	30021861
Hon.	Amata	Aumua		O	AS00	2024	5/12/2025	10067610
	Ammon	Christopher Robert		C	TX18	2024	8/9/2024	10062682
Hon.	Amo	Gabe F.		O	RI01	2024	5/14/2025	10066976
Hon.	Amodei	Mark E.		O	NV02	2024	5/15/2025	10067998
	Anderson	Derrick		C	VA07	2024	8/8/2024	10058787
	Anderson	Derrick		X	VA07	2024	4/23/2024	30020842
	Anderson	Diane		C	WI01	2024	7/1/2024	10062384
	Anderson	Diane		D	WI01	2024	11/5/2024	8220679
	Anderson	Diane		W		2024		8220678
	Anderson	Elizabeth		C	AL06	2024	5/24/2024	10061977
	Andrews	Aliscia		C	VA10	2024	5/19/2024	10061159
	Andrews	Aliscia		X	VA10	2024	5/17/2024	30021747
Mr.	Andrews	Russ Albert		C	CO03	2024	6/19/2024	10061630
Mr.	Andrews	Russ Albert		X	CO03	2024	5/17/2024	30022024
	Ansari	Yassamin		C	AZ03	2024	8/13/2024	10060997
	Ansari	Yassamin		X	AZ03	2024	5/17/2024	30021871
Hon.	Ansari	Yassamin		A	AZ03	2024	8/13/2026	10081628
Hon.	Ansari	Yassamin		H	AZ03	2024	8/13/2025	10072050
Hon.	Ansari	Yassamin		X	AZ03	2024	6/2/2025	8220990
	Antropov	Jayden		D	FL22	2024	5/10/2024	40003638
Hon.	Arenholz	Ashley Hinson		O	IA02	2024	8/13/2025	10066620
Hon.	Arenholz	Ashley Hinson		X	IA02	2024	4/23/2025	30022811
	Armendariz-Jackson	Irene		C	TX16	2024	5/15/2024	10061443
Mr.	Armey	Scott		W		2024		8220253
	Armstead	Derek		C	NJ10	2024	6/21/2024	10062305
Hon.	Armstrong	Kelly		T	ND00	2024	4/15/2025	10063232
Hon.	Armstrong	Kelly		X	ND00	2024	1/8/2025	30022465
Hon.	Arrington	Jodey		O	TX19	2024	8/13/2025	10067582
Hon.	Arrington	Jodey		X	TX19	2024	5/7/2025	30023174
	Ashby	Stephan Blake		C	MO01	2024	6/18/2024	10062259
	Atkins	Joey David		X	FL26	2024	5/15/2024	8220326
	Atkinson	James Fredrick		C	PA11	2024	2/28/2024	10056839
Hon.	Auchincloss	Jake		A	MA04	2024	4/9/2026	10074498
Hon.	Auchincloss	Jake		O	MA04	2024	5/6/2025	10065692
Hon.	Auchincloss	Jake		P	MA04	2024	8/21/2024	20025708
Hon.	Auchincloss	Jake		P	MA04	2024	11/21/2024	20026246
	Audino	Ernest Carl		C	FL06	2024	10/2/2025	10072241
	Austin	Kyle Ray		C	MT02	2024	3/7/2024	10056874
	Avion	Orlondo		C	CO05	2024	8/13/2024	10062771
	Avlon	John		C	NY01	2024	5/26/2024	10056881
	Avlon	John		X	NY01	2024	3/13/2024	30019623
	Ayers	Avery Lamarr		C	TX38	2024	9/16/2024	8220651
Hon.	Babin	Brian		O	TX36	2024	5/12/2025	10066194
	Baccam	Lanon		C	IA03	2024	8/13/2024	10059198
	Baccam	Lanon		X	IA03	2024	4/30/2024	30020954
Mr.	Bach	Kenneth James		C	PA14	2024	4/20/2024	10057765
	Backie	Robert		C	AZ01	2024	6/14/2024	10060401
	Backie	Robert		X	AZ01	2024	5/14/2024	30021419
Hon.	Bacon	Donald J.		O	NE02	2024	5/5/2025	10066793
	Baechler	Mary		D	WA04	2024	6/3/2024	40003664
Ms.	Bailey	Huy-Yen Cam		C	FL02	2024	7/24/2026	10081250
Hon.	Baird	James R Dr		O	IN04	2024	8/12/2025	10069143
Hon.	Baird	James R Dr		X	IN04	2024	5/15/2025	30023947
	Baker	Aaron		C	FL06	2024	12/26/2024	10063201
	Baker	Arthur Radford	Jr.	C	MD03	2024	4/23/2024	10059065
	Baker	Dennis		C	OK01	2024	5/10/2024	10060536
Ms.	Baker	Karen G. H.		C	VA09	2024	5/15/2024	10061449
	Balderson	Troy		A	OH12	2024	12/10/2025	10072753
	Balderson	Troy		O	OH12	2024	5/13/2025	10068064
	Balekian	Alex Arto		C	CA30	2024	6/5/2024	10062108
Hon.	Balint	Rebecca 'Becca'		O	VT00	2024	5/6/2025	10066161
Hon.	Banks	James E Hon		P	IN03	2024	8/12/2024	20025626
	Banweg	Chris		C	OH13	2024	4/23/2024	10059052
	Barca	Peter		A	WI01	2024	7/24/2024	10062537
	Barca	Peter		C	WI01	2024	7/14/2024	10062449
	Barca	Peter		X	WI01	2024	5/8/2024	8220255
	Barr	Callie		C	MI01	2024	5/13/2024	10060921
Hon.	Barr	Garland "Andy"		O	KY06	2024	8/11/2025	10066141
Hon.	Barr	Garland "Andy"		X	KY06	2024	4/16/2025	30022688
Hon.	Barragan	Nanette		O	CA44	2024	5/26/2025	10067907
Hon.	Barragan	Nanette		P	CA44	2024	3/27/2024	20024750
Hon.	Barragan	Nanette		P	CA44	2024	4/25/2024	20024923
Hon.	Barragan	Nanette		X	CA44	2024	5/12/2025	30023339
	Barrett	Thomas More		C	MI07	2024	5/15/2024	10059519
Hon.	Barrett	Thomas More		H	MI07	2024	5/13/2025	10067593
Hon.	Barrett	Thomas More		X	MI07	2024	5/15/2025	8220925
Hon.	Barrett	Thomas More		X	MI07	2024	6/2/2025	8221015
	Barry	Megan		C	TN07	2024	5/4/2024	10059689
	Barsoom	Raafat		C	NJ11	2024	3/1/2024	10056848
	Baugh	Scott		C	CA47	2024	4/26/2024	10058947
	Baumgartner	Michael James		C	WA05	2024	3/24/2024	10056877
Hon.	Baumgartner	Michael James		H	WA05	2024	5/12/2025	10067648
Hon.	Bean	Aaron P.		O	FL04	2024	5/14/2025	10068387
Hon.	Beatty	Joyce		O	OH03	2024	5/15/2025	10068996
	Becker	Rick		C	ND00	2024	2/21/2024	10056708
	Bedell	Carl		C	VA07	2024	5/15/2024	10061382
	Begich	Nicholas	III	C	AK00	2024	9/30/2024	10058876
	Begich	Nicholas	III	X	AK00	2024	5/14/2024	30021221
Hon.	Begich	Nicholas	III	H	AK00	2024	8/13/2025	10067366
Hon.	Begich	Nicholas	III	X	AK00	2024	5/5/2025	30023077
Hon.	Bell	Wesley		H	MO01	2024	8/13/2025	10068770
Hon.	Bell	Wesley		X	MO01	2024	5/14/2025	30023751
Mr.	Bell	Wesley		C	MO01	2024	6/21/2024	10062319
	Belnome	Joseph		C	NJ11	2024	3/15/2024	10056845
Mr.	Bennett	Jim		C	GA03	2024	4/18/2024	10057697
	Bennett-Wolcott	Barbara Louise		C	WA05	2024	7/15/2024	10062439
Hon.	Bentz	Cliff		O	OR02	2024	6/27/2025	10067150
Hon.	Bentz	Cliff		P	OR02	2024	2/13/2024	20024492
Hon.	Bentz	Cliff		X	OR02	2024	5/2/2025	30023002
Hon.	Bera	Ami		O	CA06	2024	8/6/2025	10071877
Hon.	Bera	Ami		X	CA06	2024	6/2/2025	8221017
Hon.	Bergman	John		O	MI01	2024	5/14/2025	10068849
	Bergmann	Charlotte		C	TN09	2024	5/16/2024	10061894
	Bernstein	Joby		W	CA16	2024	4/22/2024	7938
	Berry	Rodney		W	SC07	2024	3/4/2024	7923
Hon.	Beyer	Donald Sternoff	Jr	A	VA08	2024	7/8/2026	10081235
Hon.	Beyer	Donald Sternoff	Jr	A	VA08	2024	7/8/2026	10081236
Hon.	Beyer	Donald Sternoff	Jr	O	VA08	2024	5/13/2025	10068176
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	3/31/2024	20024769
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	6/6/2024	20025133
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	9/4/2024	20025776
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	11/3/2024	20026134
Hon.	Beyer	Donald Sternoff	Jr	P	VA08	2024	12/7/2024	20026353
	Bhalla	Ravi		X	NJ08	2024	5/17/2024	30021897
	Bhandari	Harry		C	MD02	2024	8/8/2024	10062634
Hon.	Bice	Stephanie		O	OK05	2024	8/12/2025	10067925
Hon.	Bice	Stephanie		P	OK05	2024	8/10/2024	20025620
Hon.	Bice	Stephanie		X	OK05	2024	5/11/2025	30023332
Hon.	Biggs	Andy		O	AZ05	2024	8/4/2025	10066999
Hon.	Biggs	Andy		X	AZ05	2024	4/30/2025	30022936
	Biggs	Sheri		C	SC03	2024	3/27/2024	10056896
	Biggs	Sheri		X	SC03	2024	2/21/2024	30019610
Hon.	Biggs	Sheri		A	SC03	2024	10/5/2025	10072580
Hon.	Biggs	Sheri		A	SC03	2024	10/5/2025	10072601
Hon.	Biggs	Sheri		H	SC03	2024	8/13/2025	10066936
Hon.	Biggs	Sheri		X	SC03	2024	4/29/2025	30022918
Hon.	Bilirakis	Gus M.		O	FL12	2024	5/14/2025	8221132
	Billips	Nathan Euegene		C	WI02	2024	7/9/2024	10062431
	Bird	Rod	Jr.	C	UT03	2024	5/26/2024	10061748
	Bird	Rod	Jr.	X	UT03	2024	5/17/2024	30022124
	Bishop	Kevin Daniel		C	SC03	2024	4/19/2024	10057496
Hon.	Bishop	Sanford D.	Jr.	O	GA02	2024	5/14/2025	10067641
	Blair	Raymond J.	Jr.	W		2024		8220198
	Blair	Raymond J.	Jr.	X	GA03	2024	2/27/2024	30019617
	Blalock	Clarence		C	GA14	2024	4/6/2024	10056974
	Blewett	David		C	TX32	2024	2/5/2024	10056727
	Blood	Carol		C	NE01	2024	4/15/2024	10057341
	Blood	Carol		X	NE01	2024	2/27/2024	30019616
Hon.	Blumenauer	Earl		P	OR03	2024	1/4/2024	20024254
Hon.	Blumenauer	Earl		P	OR03	2024	3/2/2024	20024580
Hon.	Blumenauer	Earl		P	OR03	2024	3/12/2024	20024671
Hon.	Blumenauer	Earl		P	OR03	2024	4/4/2024	20024797
Hon.	Blumenauer	Earl		P	OR03	2024	5/4/2024	20024984
Hon.	Blumenauer	Earl		P	OR03	2024	6/6/2024	20025194
Hon.	Blumenauer	Earl		P	OR03	2024	6/6/2024	20025219
Hon.	Blumenauer	Earl		P	OR03	2024	7/6/2024	20025403
Hon.	Blumenauer	Earl		P	OR03	2024	8/6/2024	20025603
Hon.	Blumenauer	Earl		P	OR03	2024	9/6/2024	20025787
Hon.	Blumenauer	Earl		P	OR03	2024	10/8/2024	20025970
Hon.	Blumenauer	Earl		P	OR03	2024	11/5/2024	20026141
Hon.	Blumenauer	Earl		P	OR03	2024	12/7/2024	20026347
